formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,19.857728239719314,0.0,3.0,22.0,2689.451399447142,71.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,21.093602602970115,0.0,3.0,15.0,1028.774894483817,76.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,34.93849690371172,0.0,3.0,19.0,1721.0938023273216,28.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,20.27686909863709,0.0,2.0,0.0,3026.065445303028,64.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,40.57518891868458,0.0,2.0,16.0,3374.1944646910365,1.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,27.87668710101189,0.0,2.0,10.0,2071.7877021966005,93.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,26.08205505081268,0.0,1.0,16.0,2385.961313087872,59.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,36.95236382276797,0.0,1.0,6.0,2115.793671535269,33.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,13.286289328427882,0.0,2.0,18.0,3074.215173684435,81.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,21.2811915162366,0.0,1.0,2.0,3492.4444397391803,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,37.583667131307486,0.0,2.0,15.0,3724.605079347624,17.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,21.06192235442456,0.0,2.0,14.0,3140.059389398006,79.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,11.867218615324717,0.0,2.0,11.0,1450.4151056510536,58.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,46.44775255032782,0.0,2.0,14.0,2380.463084036458,89.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,20.734555966752996,0.0,2.0,8.0,3054.8149175924345,40.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,33.07685510861747,0.0,3.0,2.0,2439.0122422042414,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,12.26246959138032,0.0,3.0,3.0,3357.8332823036453,32.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,22.217263111155347,0.0,1.0,11.0,3171.796820444714,67.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,9.340322044400708,0.0,2.0,2.0,3967.79816240912,68.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,44.11969319059366,0.0,3.0,13.0,3192.073235213208,87.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,9.189476722642212,0.0,1.0,2.0,3282.0858144781528,81.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,34.1693600397945,0.0,2.0,5.0,3587.737048790112,85.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,31.959627443216636,0.0,1.0,4.0,3577.4176709983008,90.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,34.73557007082211,0.0,3.0,13.0,1131.6616736721478,34.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,23.80403790299249,0.0,1.0,17.0,1367.0795034769787,24.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,23.937545372212924,0.0,1.0,16.0,3507.929433286723,93.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,42.18237096455163,0.0,1.0,0.0,1874.6593384128128,19.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,35.06828571225823,0.0,1.0,10.0,2504.728261493755,87.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,37.47490598465154,0.0,2.0,2.0,3389.2875721474124,49.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,36.72685536872807,0.0,3.0,2.0,1726.227934951884,8.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,10.915763446749605,0.0,1.0,21.0,2511.617150647413,53.0,True,False,True,False,False,True,False,True,True,True,True,True
