Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[1.00000000e+00 9.02720000e+00 0.00000000e+00 4.00000000e+00
 1.10000000e+01 3.67099124e+03 7.10000000e+01]","[0.91749266 0.86000402 1.         0.82051549 0.88524309 0.91172341
 0.82749857 0.80352581 0.85056127 0.80937776 0.81911039 0.93      ]",6.3266974,6.219449758529663
1,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 2.20000000e+01 1.57599124e+03 7.60000000e+01]","[0.95817774 0.85572397 1.         0.95839394 0.93514864 0.93672223
 0.95829998 0.90032554 0.95365504 0.93228916 0.9685176  0.9       ]",2.8466974,388.7138555049896
2,"[1.0000e+00 5.0272e+00 0.0000e+00 2.0000e+00 2.3000e+01 4.0000e+03
 2.8000e+01]","[0.84189103 0.89418208 1.         0.88405397 0.91905816 0.94529605
 0.86303799 0.94378702 0.88426401 0.94358966 0.94619638 0.86      ]",6.885045333333333,19.910757064819336
3,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 2.30000000e+01 1.57599124e+03 6.40000000e+01]","[0.9551725  0.86676885 1.         0.96278082 0.92288669 0.93936129
 0.96109036 0.90037524 0.94055546 0.92424372 0.95750803 0.86      ]",2.848364066666667,143.82655382156372
4,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 3.00000000e+00 3.69699124e+03 1.00000000e+00]","[0.91013575 0.90594405 1.         0.88088132 0.93288971 0.82746549
 0.91680976 0.8040132  0.90159142 0.81981958 0.9942193  0.79      ]",6.345030733333333,6.491925001144409
5,"[0.00000000e+00 5.48142626e+00 1.00000000e+00 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[0.8253233  0.68513527 1.         0.7690746  0.74029913 0.86637431
 0.75027984 0.87343318 0.64011564 0.86485827 0.98407412 0.95      ]",47.66181504376666,0.1644568443298339
6,"[1.00000000e+00 9.02720000e+00 0.00000000e+00 4.00000000e+00
 4.00000000e+00 3.67099124e+03 5.90000000e+01]","[0.91548196 0.86000402 1.         0.81130861 0.88188744 0.91867297
 0.80606055 0.82081582 0.83412673 0.81543585 0.83450121 0.86      ]",6.315030733333333,5.358287811279297
7,"[1.0000e+00 5.0272e+00 0.0000e+00 4.0000e+00 2.3000e+01 4.0000e+03
 3.3000e+01]","[0.82350135 0.8943283  1.         0.88609081 0.92689224 0.93379268
 0.86424429 0.93959668 0.86955888 0.9379562  0.98147285 0.85      ]",6.888378666666667,9.69348669052124
8,"[1.0000e+00 5.0272e+00 0.0000e+00 4.0000e+00 2.2000e+01 4.0000e+03
 8.1000e+01]","[0.84066051 0.85012595 1.         0.88237144 0.92622856 0.87312895
 0.86957648 0.87807642 0.8998975  0.93254601 0.91926384 0.88      ]",6.886712,1.6224234104156494
9,"[1.0000e+00 5.0272e+00 0.0000e+00 4.0000e+00 2.3000e+01 4.0000e+03
 6.4000e+01]","[0.82826448 0.86784149 1.         0.88609081 0.91532224 0.8911346
 0.87023064 0.88444785 0.87361684 0.93187781 0.93774706 0.82      ]",6.888378666666667,8.270232200622559
