,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[   0.           19.85772824    0.            3.           22.
 2689.45139945   71.        ]","[0.77458348 0.71442773 1.         0.60599104 0.7022184  0.62789601
 0.61853956 0.63178827 0.61260556 0.57893157 0.33211726 0.92      ]",277.14227176028066,,,0.018510818481445312
1,"[   0.           21.0936026     0.            3.           15.
 1028.77489448   76.        ]","[0.88970583 0.57764604 1.         0.27512368 0.45648094 0.51744684
 0.23370999 0.30162066 0.35885276 0.37271737 0.7552858  0.55      ]",275.9063973970299,,,0.020147085189819336
2,"[   0.           34.9384969     0.            3.           19.
 1721.09380233   28.        ]","[0.7568425  0.7095747  1.         0.43855417 0.68630084 0.71961824
 0.36912504 0.63176138 0.47649465 0.6581613  0.69748926 0.73      ]",262.0615030962883,,,0.018515586853027344
3,"[0.00000000e+00 2.02768691e+01 0.00000000e+00 2.00000000e+00
 0.00000000e+00 3.02606545e+03 6.40000000e+01]","[0.78386161 0.82176491 1.         0.60278364 0.79427047 0.81752711
 0.60730901 0.72333673 0.4992844  0.75491232 0.92907441 0.79      ]",277.7231309013629,,,0.018507719039916992
4,"[0.00000000e+00 4.05751889e+01 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.37419446e+03 1.00000000e+00]","[0.76009597 0.6686065  1.         0.25209938 0.63091038 0.36186556
 0.27240321 0.69301987 0.41758065 0.57408431 0.87630403 0.59      ]",257.4248110813154,,,0.017912626266479492
5,"[0.00000000e+00 2.78766871e+01 0.00000000e+00 2.00000000e+00
 1.00000000e+01 2.07178770e+03 9.30000000e+01]","[0.88915946 0.64291502 1.         0.62087024 0.658214   0.72513102
 0.63765875 0.70644452 0.62214314 0.71629088 0.88308436 0.79      ]",270.1233128989881,,,0.01908397674560547
6,"[0.00000000e+00 2.60820551e+01 0.00000000e+00 1.00000000e+00
 1.60000000e+01 2.38596131e+03 5.90000000e+01]","[0.81045031 0.67418207 1.         0.5794855  0.64252774 0.68401414
 0.59179276 0.72384872 0.62549246 0.71434203 0.9108876  0.86      ]",272.91794494918736,,,0.03076910972595215
7,"[0.00000000e+00 3.69523638e+01 0.00000000e+00 1.00000000e+00
 6.00000000e+00 2.11579367e+03 3.30000000e+01]","[0.7911858  0.70907486 1.         0.60129648 0.66739389 0.77791313
 0.63209968 0.741672   0.63428492 0.7392806  0.86281347 0.85      ]",262.04763617723205,,,0.01862192153930664
8,"[0.00000000e+00 1.32862893e+01 0.00000000e+00 2.00000000e+00
 1.80000000e+01 3.07421517e+03 8.10000000e+01]","[0.7914127  0.75647411 1.         0.56631384 0.65508236 0.75933305
 0.60341417 0.73556274 0.51751616 0.74363867 0.87596256 0.83      ]",284.71371067157213,,,0.029098033905029297
9,"[0.00000000e+00 2.12811915e+01 0.00000000e+00 1.00000000e+00
 2.00000000e+00 3.49244444e+03 6.40000000e+01]","[0.8164271  0.82176491 1.         0.58113033 0.81649932 0.83366428
 0.54513442 0.72333673 0.64166726 0.73312814 0.91406095 0.81      ]",277.7188084837634,,,0.018326282501220703
10,"[0.00000000e+00 3.75836671e+01 0.00000000e+00 2.00000000e+00
 1.50000000e+01 3.72460508e+03 1.70000000e+01]","[0.88086247 0.76209172 1.         0.86756669 0.75346596 0.82950242
 0.87177218 0.76017774 0.87745815 0.74610817 0.96831501 0.89      ]",260.4163328686925,,,0.01936483383178711
11,"[0.00000000e+00 2.10619224e+01 0.00000000e+00 2.00000000e+00
 1.40000000e+01 3.14005939e+03 7.90000000e+01]","[0.7846549  0.74749902 1.         0.53042076 0.73046749 0.76799078
 0.56986266 0.69538638 0.49863171 0.70620398 0.70218498 0.72      ]",276.93807764557545,,,0.018119096755981445
12,"[   0.           11.86721862    0.            2.           11.
 1450.41510565   58.        ]","[0.86412622 0.72760426 1.         0.56638861 0.74188779 0.79886872
 0.59498539 0.6941204  0.59769875 0.64268552 0.89057821 0.73      ]",286.1327813846753,,,0.018662214279174805
13,"[0.00000000e+00 4.64477526e+01 0.00000000e+00 2.00000000e+00
 1.40000000e+01 2.38046308e+03 8.90000000e+01]","[0.84433783 0.84721807 1.         0.64550071 0.85887258 0.83614066
 0.66715494 0.75850193 0.63966234 0.77961586 0.84592938 0.74      ]",251.55224744967217,,,0.030337095260620117
14,"[0.00000000e+00 2.07345560e+01 0.00000000e+00 2.00000000e+00
 8.00000000e+00 3.05481492e+03 4.00000000e+01]","[0.7904538  0.79274956 1.         0.60141036 0.73376963 0.80995643
 0.61893839 0.73909579 0.54309516 0.7327393  0.9276309  0.88      ]",277.26544403324704,,,0.029006481170654297
15,"[0.00000000e+00 3.30768551e+01 0.00000000e+00 3.00000000e+00
 2.00000000e+00 2.43901224e+03 6.40000000e+01]","[0.78192918 0.73709728 1.         0.52862463 0.7309459  0.72293569
 0.55871103 0.69682786 0.55419351 0.69937556 0.65868562 0.88      ]",263.92314489138255,,,0.01856374740600586
16,"[0.00000000e+00 1.22624696e+01 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.35783328e+03 3.20000000e+01]","[0.82078499 0.82737014 1.         0.60599171 0.82274363 0.80440362
 0.62874973 0.7550263  0.6509476  0.75518777 0.85347265 0.74      ]",284.7375304086197,,,0.01900172233581543
17,"[0.00000000e+00 2.22172631e+01 0.00000000e+00 1.00000000e+00
 1.10000000e+01 3.17179682e+03 6.70000000e+01]","[0.77422519 0.76699879 1.         0.55893377 0.7669388  0.79085696
 0.5734108  0.70262299 0.47972212 0.72383076 0.51942587 0.64      ]",276.7827368888446,,,0.018575429916381836
18,"[0.00000000e+00 9.34032204e+00 0.00000000e+00 2.00000000e+00
 2.00000000e+00 3.96779816e+03 6.80000000e+01]","[0.86748469 0.89465771 1.         0.69540125 0.87620275 0.86717389
 0.69845757 0.74921178 0.62833018 0.82463415 0.95658535 0.83      ]",288.6596779555993,,,0.019026756286621094
19,"[0.00000000e+00 4.41196932e+01 0.00000000e+00 3.00000000e+00
 1.30000000e+01 3.19207324e+03 8.70000000e+01]","[0.76487697 0.68471797 1.         0.48891065 0.64706437 0.72125828
 0.51541362 0.67930876 0.45394323 0.69910955 0.39909902 0.59      ]",252.88030680940633,,,0.020662307739257812
20,"[0.00000000e+00 9.18947672e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+00 3.28208581e+03 8.10000000e+01]","[0.85961347 0.89964958 1.         0.69418954 0.88898198 0.92820123
 0.70201053 0.81774833 0.71876686 0.828438   0.83658135 0.87      ]",289.8105232773578,,,0.01845097541809082
21,"[0.00000000e+00 3.41693600e+01 0.00000000e+00 2.00000000e+00
 5.00000000e+00 3.58773705e+03 8.50000000e+01]","[0.8786508  0.75320019 1.         0.5627256  0.70501545 0.75348682
 0.54833791 0.71851123 0.60170724 0.7304262  0.91329396 0.88      ]",263.83063996020553,,,0.032047271728515625
22,"[0.00000000e+00 3.19596274e+01 0.00000000e+00 1.00000000e+00
 4.00000000e+00 3.57741767e+03 9.00000000e+01]","[0.8836739  0.76283528 1.         0.5627256  0.70501545 0.74972602
 0.55439277 0.72092582 0.63133894 0.73460592 0.94566721 0.97      ]",267.0403725567834,,,0.01837015151977539
23,"[   0.           34.73557007    0.            3.           13.
 1131.66167367   34.        ]","[0.7838374  0.73779035 1.         0.47361344 0.72449871 0.86912542
 0.38857458 0.84470569 0.61612111 0.84253332 0.94502449 0.75      ]",262.2644299291779,,,0.018576860427856445
24,"[0.00000000e+00 2.38040379e+01 0.00000000e+00 1.00000000e+00
 1.70000000e+01 1.36707950e+03 2.40000000e+01]","[0.85547434 0.64708231 1.         0.58265147 0.67978735 0.87128043
 0.56625312 0.81806656 0.61965216 0.81518209 0.39281946 0.69      ]",275.1959620970075,,,0.018453598022460938
25,"[0.00000000e+00 2.39375454e+01 0.00000000e+00 1.00000000e+00
 1.60000000e+01 3.50792943e+03 9.30000000e+01]","[0.86054161 0.69313018 1.         0.60524289 0.63633532 0.74873636
 0.55037631 0.71174912 0.66354096 0.70699574 0.84330153 0.88      ]",275.0624546277871,,,0.019504547119140625
26,"[0.00000000e+00 4.21823710e+01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.87465934e+03 1.90000000e+01]","[0.81753436 0.78549559 1.         0.57442202 0.75461032 0.80867725
 0.53500825 0.77523433 0.51992567 0.77345814 0.93618679 0.86      ]",256.81762903544836,,,0.01894974708557129
