,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.77399124e+03 7.10000000e+01]","[0.95563754 0.94287028 1.         0.96271025 0.95424553 0.96185713
 0.96884674 0.9445809  0.96270031 0.94403521 0.98980004 0.97      ]",292.9728,,,0.1393449306488037
1,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 2.20000000e+01 3.77399124e+03 7.60000000e+01]","[0.96831656 0.87815742 1.         0.94008626 0.9278083  0.95651237
 0.95488248 0.92701492 0.94182314 0.94270083 0.97229719 0.89      ]",293.9728,,,0.1606595516204834
2,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[0.929657   0.94932543 1.         0.86023123 0.94652209 0.92942543
 0.88556936 0.90542858 0.84771006 0.90356413 0.99207765 0.94      ]",294.9728,,,0.3834819793701172
3,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.77399124e+03 6.40000000e+01]","[0.95245883 0.94287028 1.         0.96164758 0.95424553 0.9651831
 0.96799361 0.9445809  0.96270031 0.94122281 0.99216592 0.96      ]",292.9728,,,0.3091611862182617
4,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 0.00000000e+00 3.77399124e+03 1.00000000e+00]","[0.89632269 0.93050842 1.         0.95364302 0.94203784 0.84527076
 0.96198373 0.92251409 0.91472957 0.88959362 0.9962275  0.8       ]",292.9728,,,0.06483745574951172
5,"[1.00000000e+00 5.48142626e+00 1.00000000e+00 2.00000000e+00
 1.60000000e+01 3.99892713e+04 9.30000000e+01]","[0.93853245 0.80296993 1.         0.86494056 0.80860288 0.84970863
 0.9013508  0.92247961 0.81358244 0.93260687 0.88476723 0.81      ]",292.51857373737374,,,0.255507230758667
6,"[1.00000000e+00 9.02720000e+00 0.00000000e+00 4.00000000e+00
 7.00000000e+00 3.76999124e+03 5.90000000e+01]","[0.91498082 0.86000402 1.         0.86778151 0.88524309 0.92255973
 0.85946612 0.82603868 0.86639561 0.81278552 0.80588973 0.9       ]",287.9728,,,0.15285491943359375
7,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[0.95526181 0.93676621 1.         0.88560427 0.9394495  0.93846505
 0.88081557 0.92490631 0.89110499 0.92718738 0.98155081 0.96      ]",294.9728,,,0.43154072761535645
8,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.77399124e+03 8.10000000e+01]","[0.95579263 0.88260944 1.         0.96099139 0.92415617 0.95973958
 0.96781404 0.94315267 0.96270031 0.94620201 0.98892283 0.95      ]",292.9728,,,0.22218036651611328
9,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.77399124e+03 6.40000000e+01]","[0.95245883 0.94287028 1.         0.96164758 0.95424553 0.9651831
 0.96799361 0.9445809  0.96270031 0.94122281 0.99216592 0.96      ]",292.9728,,,0.1842634677886963
10,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 3.00000000e+00 3.77399124e+03 1.70000000e+01]","[0.97156256 0.93478847 1.         0.95015671 0.9347287  0.9568292
 0.95963943 0.9510986  0.95435851 0.93792497 0.99177039 0.92      ]",293.9728,,,0.21910500526428223
11,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.77399124e+03 7.90000000e+01]","[0.95579263 0.88260944 1.         0.95898468 0.92415617 0.95973958
 0.96568061 0.94315267 0.96270031 0.94620201 0.98782212 0.96      ]",292.9728,,,0.18130111694335938
12,"[1.0000000e+00 8.0272000e+00 0.0000000e+00 4.0000000e+00 4.0000000e+00
 1.0154808e+03 5.8000000e+01]","[0.98097234 0.8895971  1.         0.91964018 0.92308241 0.9446406
 0.90273251 0.89287906 0.94658906 0.89073124 0.95310932 0.81      ]",288.9728,,,0.593388557434082
13,"[1.00000000e+00 6.48142626e+00 0.00000000e+00 3.00000000e+00
 2.00000000e+00 1.01748080e+03 8.90000000e+01]","[0.98292924 0.91553063 1.         0.95376611 0.92763121 0.90867757
 0.96026991 0.92215301 0.96000346 0.95305298 0.96736008 0.83      ]",291.51857373737374,,,0.1386399269104004
14,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.92952851e+04 4.00000000e+01]","[0.93600976 0.91220323 1.         0.86086024 0.91761695 0.93143397
 0.87087132 0.90488373 0.87429385 0.91144776 0.98804933 0.96      ]",294.9728,,,0.7835812568664551
15,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 5.00000000e+00 3.77399124e+03 6.40000000e+01]","[0.98114921 0.93658982 1.         0.93851353 0.94689084 0.96510194
 0.93981579 0.92860388 0.94359495 0.94274107 0.98836923 0.94      ]",293.9728,,,0.09407305717468262
16,"[1.0000000e+00 5.0272000e+00 0.0000000e+00 2.0000000e+00 1.6000000e+01
 1.7828963e+03 3.2000000e+01]","[0.95725834 0.94654945 1.         0.9635309  0.95029993 0.95772682
 0.95836416 0.95226151 0.95552366 0.95452689 0.99348855 0.95      ]",293.9728,,,0.5801501274108887
17,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.40000000e+01 2.53075699e+04 6.70000000e+01]","[0.91736684 0.90094082 1.         0.89553934 0.91059292 0.92450618
 0.88522371 0.90892986 0.85921665 0.91001651 0.90036666 0.99      ]",292.9728,,,0.12384843826293945
18,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.77399124e+03 6.80000000e+01]","[0.95245883 0.94287028 1.         0.96164758 0.95424553 0.9651831
 0.96799361 0.9445809  0.96270031 0.94403521 0.99121803 0.96      ]",292.9728,,,0.2139899730682373
