Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[   0.            5.27913036    0.            2.           10.
 1063.74922029   86.        ]","[0.07160832 0.44       0.99998461 0.96173177 0.73902101 0.46
 0.96173177 0.83975875 0.83975875 0.83975875 0.50875808 0.22682604]",177.5953434309925,,,895.5699450969696
1,"[0.00000000e+00 5.28663710e+00 0.00000000e+00 3.00000000e+00
 1.70000000e+01 3.46308146e+03 4.10000000e+01]","[0.16307297 0.34       0.999957   0.9524684  0.8052436  0.22
 0.9524684  0.92248972 0.92248972 0.92248972 0.28329644 0.46046405]",247.53227496544037,,,913.482034444809
2,"[0.00000000e+00 5.27156394e+00 0.00000000e+00 2.00000000e+00
 3.00000000e+00 2.71590867e+03 1.00000000e+00]","[0.83613608 0.44       0.9999167  0.99386881 0.90369559 0.3
 0.99386881 0.9890571  0.9890571  0.9890571  0.1749637  0.24288883]",151.38005283693792,,,880.1511523723602
3,"[0.00000000e+00 5.28500191e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 2.19682756e+03 8.50000000e+01]","[0.28098676 0.43       0.9999614  0.96982354 0.83629536 0.38
 0.96982354 0.86873016 0.86873016 0.86873016 0.42828426 0.38410352]",174.7166189467855,,,897.4942800998688
4,"[0.00000000e+00 5.28335737e+00 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.32818609e+03 7.60000000e+01]","[0.29641153 0.32       0.99995462 0.98626109 0.78867464 0.23
 0.98626109 0.94039239 0.94039239 0.94039239 0.1340108  0.47510417]",186.3095358950576,,,935.852189540863
5,"[   0.            5.27712731    0.            1.97866698   20.50141729
 1139.34582369   76.        ]","[0.06572149 0.61       0.99997401 0.93738239 0.9136411  0.6
 0.93738239 0.87670359 0.87670359 0.87670359 0.22789943 0.21608286]",222.73196503019733,,,906.5626997947692
6,"[0.00000000e+00 5.28335737e+00 0.00000000e+00 3.00000000e+00
 3.00000000e+00 3.32818609e+03 6.00000000e+00]","[0.36159085 0.39       0.9999167  0.99386881 0.91238495 0.26
 0.99386881 0.98529291 0.98529291 0.98529291 0.1749637  0.32029532]",186.3095358950576,,,856.4693794250488
7,"[   0.            5.28263025    0.            2.           16.
 1904.4077126    19.        ]","[0.79287721 0.43       0.999957   0.93738239 0.90041909 0.43
 0.93738239 0.93365727 0.93365727 0.93365727 0.52242355 0.31167851]",205.8456120817317,,,932.2453656196594
8,"[   0.            5.28837357    0.            3.            9.05919921
 1688.98147417   77.        ]","[0.11294655 0.36       0.99998039 0.96982354 0.80706567 0.37
 0.96982354 0.8802111  0.8802111  0.8802111  0.34204964 0.23345025]",208.46193863893456,,,873.6853477954865
9,"[   0.            5.28495836    0.            3.91741       9.58423929
 2103.38059767   49.        ]","[0.13192741 0.42       0.99995961 0.96173177 0.79982898 0.3
 0.96173177 0.93571607 0.93571607 0.93571607 0.16882997 0.5063914 ]",242.38002742836238,,,955.9586889743804
