formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,28.36193783558622,0.0,2.0,14.607013752766443,1361.4637562035325,17.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.962470997679795,0.0,3.0,14.582000737234374,29508.45231637977,78.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.260260442017103,0.0,2.0,17.0,29534.86156338864,30.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.986014547071228,0.0,2.0,16.0,3917.707598292706,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,18.7213596180289,0.0,3.0,8.0,21346.617132715564,82.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,6.983254946427291,0.0,2.0,18.0,29538.43106322876,33.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,7.650442153257662,0.0,3.0,15.0,6421.415826735205,56.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,18.70638202157217,0.0,3.0,11.142853017816526,32634.36816978509,77.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,6.986014547071228,0.0,2.0,16.0,3917.707598292706,25.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,6.994264337243887,0.0,2.0,9.0,21488.5638259196,88.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.077881772336163,0.0,1.0,10.0,3555.546847164652,94.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,24.45807806529869,0.0,1.0,0.0,16425.505957403333,62.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,47.66516479529705,0.0,2.0,22.0,9567.458992234217,97.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,34.433780723689935,0.0,2.0,10.0,21499.9033999061,79.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,6.967758461023104,0.0,3.0,15.0,5668.164467780927,34.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.082793871099051,0.0,2.0,12.0,4685.442539192606,98.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,6.966843415102858,0.0,2.0,15.0,28162.918966835263,5.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,6.966843415102858,0.0,2.0,15.0,28162.918966835263,13.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,5.051715230580061,0.0,1.0,4.0,21687.898512911077,86.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.9747358571456495,0.0,1.0,0.0,16425.505957403333,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.984968450517308,0.0,1.0,4.0,2899.800168625915,4.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.018588452439387,0.0,1.0,1.0,4683.498961028676,51.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.62888055542677,0.0,3.0,16.0,3862.392926062124,3.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,6.986014547071228,0.0,2.0,16.0,3917.707598292706,47.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,7.007590633531367,0.0,2.0,4.0,5095.285194321166,48.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.12293980580242,0.0,1.0,9.0,7495.918283084644,79.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,5.069798512714533,0.0,2.0,13.0,1569.4371206252142,93.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,48.561858810907374,0.0,1.5414532914481924,21.6684607319848,22998.228543695463,100.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,25.577610958017363,0.0,2.0,13.0,39559.78555950584,16.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,7.016805777596025,0.0,1.0,5.0,5966.943179878313,55.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.970700426229183,0.0,2.0,1.0,8658.605409669493,51.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,7.62888055542677,0.0,3.0,16.0,3862.392926062124,11.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,46.68700558972471,0.0,2.0,4.0,4820.56741498086,11.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,6.992589991970775,0.0,1.0,15.0,29403.868539911124,41.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,25.577610958017363,0.0,2.0,13.0,39559.78555950584,16.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,7.016805777596025,0.0,1.0,5.0,5966.943179878313,54.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,6.9747358571456495,0.0,1.0,0.0,16425.505957403333,51.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.071205536766447,0.0,1.0,13.0,20577.961143985405,88.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,47.6562951562543,0.0,2.004517639685245,22.06324695559343,21530.559307192525,98.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,35.433780723689935,0.0,2.0,10.0,21498.9033999061,78.0,False,False,True,False,False,True,False,False,False,False,False,False
0.0,5.260260442017103,0.0,2.0,17.0,29534.86156338864,40.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.983254946427291,0.0,2.0,18.0,29538.43106322876,49.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,5.943762861282647,0.0,3.0,13.001469079713084,29512.206592526083,39.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,48.90256716995948,0.0,2.002173247297444,22.09771866726097,8968.010666180666,98.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,6.966843415102858,0.0,2.0,15.0,28162.918966835263,38.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.575606660160767,0.0,1.8513904546589848,18.61245172466968,29525.63623917356,71.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.0167300093945615,0.0,3.0,9.0,5725.132532809877,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.986014547071228,0.0,2.0,16.0,3917.707598292706,1.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.011576738187857,0.0,1.0,1.0,15361.412279035265,50.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,7.01676732755354,0.0,3.0,11.0,3686.893019064585,7.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,18.70638202157217,0.0,3.0,11.142853017816526,32634.36816978509,64.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,6.986014547071228,0.0,2.0,16.0,3917.707598292706,45.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,6.030604929713455,0.0,2.0,12.0,20912.09483146751,89.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,26.4806341334242,0.0,2.0,15.0,6251.302882017606,11.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,46.68700558972471,0.0,2.0,4.0,4820.56741498086,2.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,29.898456498035003,0.0,2.0361962273808265,10.782822635715036,21187.50479291812,83.0,False,True,True,False,True,True,False,False,False,False,False,True
