formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,26.825187119698622,0.0,4.0,19.0,22353.96360625071,17.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,19.43229808415833,0.0,3.0,13.0,25758.04064981781,78.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,8.97977792099449,0.0,3.0,13.0,15988.875895024998,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.46387470071201,0.0,3.0,13.0,2291.702803553796,64.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,7.323582337143717,0.0,3.0,13.0,22375.35570069261,82.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.818106662502842,0.0,3.0,13.0,3719.1888136915695,33.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.334169169365316,0.0,3.0,13.0,12731.702537571837,56.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,8.03046688186432,0.0,3.0,13.0,34599.917650990654,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,18.81904942658656,0.0,3.0,13.0,6002.087392215812,25.0,False,False,True,False,False,False,False,False,False,False,True,True
1.0,39.01517449730565,0.0,3.0,13.0,14532.294980248324,88.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,27.09599443922697,0.0,3.0,13.0,8060.891423603581,94.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,39.84657142656972,0.0,4.0,12.0,23724.829741142585,62.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,13.056974452797975,0.0,3.0,13.0,34849.99375654126,97.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,11.613008577038652,0.0,3.0,13.0,8901.859361637773,79.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,43.66820892193479,0.0,3.0,13.0,32357.239152050257,34.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,38.1111600432433,0.0,3.0,13.0,32425.41138157964,98.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.542363465627589,0.0,3.0,13.0,1342.522820824387,5.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,21.99733817906876,0.0,3.0,13.0,28564.127177928855,13.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,11.835926710249652,0.0,3.0,13.0,35443.14498423969,86.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,39.0687300100176,0.0,3.0,13.0,16337.125195818946,79.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,15.679315823365556,0.0,3.0,13.0,36619.83468938174,4.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,35.55009298955543,0.0,3.0,13.0,33639.13289377241,51.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,21.39803338370527,0.0,3.0,13.0,17748.379780809326,3.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,17.68717279496135,0.0,3.0,13.0,18081.311987209167,47.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,26.352313025281013,0.0,3.0,13.0,13778.502177100703,48.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,7.473558178063948,1.0,3.0,9.0,29755.103528323827,79.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,17.917876319037696,0.0,3.0,13.0,36247.59615260786,93.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,12.274985268680444,0.0,3.0,13.0,22615.22501677147,100.0,False,False,True,False,False,False,False,False,False,False,False,False
