formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,17.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,5.0182,0.0,4.0,10.0,20698.27297676768,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,2590.5085141414143,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,20698.27297676768,64.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,10.0,20698.27297676768,82.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,33.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,1.0,12.0,2359.8442,56.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,20698.27297676768,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,5346.037888888889,25.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,10.0,20698.27297676768,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,97.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,4.0,10.0,20698.27297676768,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,34.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,47.70863232323232,0.0,2.0,23.0,20698.27297676768,98.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,5.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,15.0,2590.5085141414143,13.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.0182,0.0,4.0,10.0,21091.920030303037,86.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,20698.27297676768,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,2590.5085141414143,4.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,51.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,3.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,47.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,4.0,15.0,20698.27297676768,48.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,20698.27297676768,93.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,10.0,21091.920030303037,100.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,16.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.8348141414141415,0.0,4.0,10.0,15696.9804,55.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,14793.567173737374,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,11.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,41.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,16.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,54.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,14793.567173737374,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,88.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,98.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,40.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,49.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,39.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,98.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,2590.5085141414143,38.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,20698.27297676768,71.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,1.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,50.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,7.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,45.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,6133.3319959595965,11.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,2.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,83.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,25.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,16.0,False,False,True,False,False,True,False,False,False,False,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,19.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,79.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,49.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,3.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.284656565656563,0.0,4.0,15.0,20698.27297676768,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,9.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.0182,0.0,2.0,15.0,2590.5085141414143,33.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,69.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,26.36341616161616,0.0,4.0,15.0,20698.27297676768,76.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,27.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,42.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,14.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,26.36341616161616,0.0,4.0,15.0,5346.037888888889,19.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,25.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,16.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,43.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,63.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,88.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.0182,0.0,2.0,15.0,20698.27297676768,41.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2590.5085141414143,19.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,21091.920030303037,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,20698.27297676768,58.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,34.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,20698.27297676768,81.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,5.0182,0.0,4.0,10.0,20698.27297676768,99.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,21091.920030303037,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,11.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2590.5085141414143,20.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0182,0.0,4.0,15.0,20698.27297676768,63.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,49.07109292929293,0.0,2.0,15.0,20698.27297676768,45.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0182,0.0,2.0,15.0,2590.5085141414143,29.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,6.8348141414141415,0.0,2.0,15.0,20698.27297676768,27.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,58.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,20698.27297676768,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,5346.037888888889,39.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,5346.037888888889,18.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,4.0,10.0,20698.27297676768,76.0,True,False,True,False,False,False,False,False,False,False,False,False
