formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,26.36341616161616,0.0,4.0,15.0,6302.3319959595965,17.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.0182,0.0,4.0,10.0,21392.920030303037,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,2605.5085141414143,30.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,82.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,5514.037888888889,33.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,1.0,12.0,2410.8442,56.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,77.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,4.0,8.0,6873.0272,25.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,21392.920030303037,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,47.70863232323232,0.0,4.0,23.0,20164.7145,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,5494.037888888889,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,97.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.0182,0.0,4.0,10.0,21392.920030303037,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,29.08833737373737,0.0,4.0,15.0,5507.037888888889,34.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,47.70863232323232,0.0,2.0,23.0,21392.920030303037,98.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,5.0182,0.0,4.0,15.0,21392.920030303037,5.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,2605.5085141414143,13.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,86.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,21392.920030303037,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,46.80032525252525,0.0,1.0,15.0,2605.5085141414143,4.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,12.284656565656563,0.0,2.0,15.0,15178.567173737374,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.8348141414141415,0.0,1.0,15.0,21392.920030303037,3.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,49.07109292929293,0.0,2.0,15.0,21936.21413737374,47.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,26.36341616161616,0.0,4.0,15.0,21392.920030303037,48.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,93.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,21392.920030303037,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,15.0,2605.5085141414143,16.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,16013.9804,55.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,21392.920030303037,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,5507.037888888889,11.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.0182,0.0,1.0,15.0,2605.5085141414143,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,1.0,15.0,5409.037888888889,41.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,15.0,15241.214227272729,16.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,54.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,15.0,21392.920030303037,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,88.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,98.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,78.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,21392.920030303037,40.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0182,0.0,4.0,15.0,21392.920030303037,49.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,21392.920030303037,39.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,98.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,15.0,2605.5085141414143,38.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,21392.920030303037,71.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,21392.920030303037,64.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,46.80032525252525,0.0,2.0,18.0,35347.1728,1.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,4.0,15.0,5514.037888888889,50.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,46.80032525252525,0.0,4.0,15.0,2605.5085141414143,7.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,5.0,5635.9845,45.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,2.0,15.0,6302.3319959595965,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2605.5085141414143,2.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,83.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,15.0,15241.214227272729,25.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,15.0,2605.5085141414143,16.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,2605.5085141414143,19.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,2.0,10.0,21392.920030303037,79.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,4.0,15.0,21392.920030303037,49.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,26.36341616161616,0.0,4.0,15.0,5507.037888888889,3.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,12.284656565656563,0.0,4.0,15.0,21392.920030303037,100.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,5.0182,0.0,2.0,15.0,15241.214227272729,9.0,True,True,True,True,True,True,True,True,True,True,True,True
