,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[   0.           28.36193784    0.            2.           14.60701375
 1361.4637562    17.        ]","[0.0140538  0.11494405 0.9        0.02124151 0.10555277 0.12892576
 0.02124151 0.6175375  0.6175375  0.6175375  0.48397657 0.01102615]",269.6380621644138,550.1945192813873
1,"[0.00000000e+00 5.96247100e+00 0.00000000e+00 3.00000000e+00
 1.45820007e+01 2.95084523e+04 7.80000000e+01]","[2.04006741e-01 8.24730728e-01 1.00000000e+00 3.62508668e-04
 7.20052379e-01 7.75196027e-01 3.62508668e-04 2.54721381e-04
 2.54721381e-04 2.54721381e-04 1.12245989e-03 3.85226791e-01]",291.0375290023202,550.7207696437836
2,"[0.00000000e+00 5.26026044e+00 0.00000000e+00 2.00000000e+00
 1.70000000e+01 2.95348616e+04 3.00000000e+01]","[3.46392401e-01 7.04244712e-01 9.90000000e-01 2.31986371e-04
 5.82062565e-01 6.17598899e-01 2.31986371e-04 1.58785886e-04
 1.58785886e-04 1.58785886e-04 4.74847504e-04 8.12881734e-03]",292.7397395579829,559.1744132041931
3,"[0.00000000e+00 6.98601455e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.91770760e+03 6.40000000e+01]","[8.15156472e-01 9.63315074e-02 9.50000000e-01 3.25946603e-04
 4.80338894e-01 4.40360876e-01 3.25946603e-04 1.16939416e-04
 1.16939416e-04 1.16939416e-04 7.09146785e-04 8.53976161e-01]",291.01398545292875,562.8239347934723
4,"[0.00000000e+00 1.87213596e+01 0.00000000e+00 3.00000000e+00
 8.00000000e+00 2.13466171e+04 8.20000000e+01]","[0.0732532  0.3125862  1.         0.00733269 0.43713336 0.49661098
 0.00733269 0.88072813 0.88072813 0.88072813 0.87755537 0.04701526]",278.2786403819711,548.7469301223755
5,"[0.00000000e+00 6.98325495e+00 0.00000000e+00 2.00000000e+00
 1.80000000e+01 2.95384311e+04 3.30000000e+01]","[7.54249308e-02 7.04244712e-01 1.00000000e+00 2.31986371e-04
 9.22753451e-01 8.83993342e-01 2.31986371e-04 1.58785886e-04
 1.58785886e-04 1.58785886e-04 5.02638228e-04 7.42109327e-01]",291.0167450535727,550.4059498310089
6,"[0.00000000e+00 7.65044215e+00 0.00000000e+00 3.00000000e+00
 1.50000000e+01 6.42141583e+03 5.60000000e+01]","[7.72998180e-02 3.70263209e-01 9.90000000e-01 2.01673340e-03
 4.74276508e-01 4.97937715e-01 2.01673340e-03 6.70220528e-04
 6.70220528e-04 6.70220528e-04 1.39502073e-02 7.26032262e-01]",289.34955784674236,548.3644726276398
7,"[0.00000000e+00 1.87063820e+01 0.00000000e+00 3.00000000e+00
 1.11428530e+01 3.26343682e+04 7.70000000e+01]","[5.30408770e-02 8.07358803e-01 1.00000000e+00 1.11185080e-04
 8.81287002e-01 8.69536581e-01 1.11185080e-04 7.04430800e-04
 7.04430800e-04 7.04430800e-04 2.45575910e-04 1.30643479e-02]",278.29361797842785,545.8749883174896
8,"[0.00000000e+00 6.98601455e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.91770760e+03 2.50000000e+01]","[8.15156472e-01 1.07060518e-01 9.40000000e-01 3.25946603e-04
 5.08412954e-01 4.44081308e-01 3.25946603e-04 8.11436737e-04
 8.11436737e-04 8.11436737e-04 3.51374480e-03 8.58415440e-01]",291.01398545292875,570.4506652355194
9,"[0.00000000e+00 6.99426434e+00 0.00000000e+00 2.00000000e+00
 9.00000000e+00 2.14885638e+04 8.80000000e+01]","[0.32159342 0.11361186 1.         0.05137526 0.52872055 0.44937816
 0.05137526 0.44254959 0.44254959 0.44254959 0.57490104 0.93582256]",291.00573566275614,545.7908227443695
