,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[6.55302085e-01 6.96680108e+00 2.05932120e-01 3.27592389e+00
 1.52397733e+01 3.86396242e+03 1.70000000e+01]","[7.41102634e-01 6.62708678e-01 1.00000000e+00 7.56470719e-04
 9.27145829e-01 8.24890828e-01 7.56470719e-04 1.03715332e-02
 1.03715332e-02 1.03715332e-02 2.26711065e-01 9.60036491e-01]",290.2066449978825,243.07813239097595
1,"[9.71616296e-01 7.00306995e+00 4.87859202e-01 3.97777199e+00
 1.02525802e+01 2.19309782e+04 7.80000000e+01]","[0.39587127 0.11036631 1.         0.00219872 0.52137884 0.39434415
 0.00219872 0.53842491 0.53842491 0.53842491 0.36086375 0.96572334]",289.5029151463031,282.5730538368225
2,"[5.12339127e-01 6.98484906e+00 4.39377877e-01 3.68940393e+00
 1.51519142e+01 3.86013895e+03 3.00000000e+01]","[0.74110263 0.58851729 0.98       0.0017238  0.92511077 0.75619959
 0.0017238  0.00447583 0.00447583 0.00447583 0.06880612 0.96003649]",289.39870825973287,242.71291208267212
3,"[5.74711157e-01 6.98448089e+00 8.57106604e-02 1.12359177e+00
 7.36467049e-02 3.86282191e+03 6.40000000e+01]","[8.45431034e-01 5.03112044e-01 9.50000000e-01 7.40475254e-04
 9.45979584e-01 8.13636774e-01 7.40475254e-04 3.01553315e-04
 3.01553315e-04 3.01553315e-04 1.69856692e-04 9.49967573e-01]",292.38092783917494,241.98457145690918
4,"[9.15784998e-01 5.08149086e+00 1.25590139e-02 3.98896658e+00
 1.00734606e+01 2.13673524e+04 8.20000000e+01]","[0.38824926 0.72283292 0.99       0.58991665 0.69948425 0.65681579
 0.58991665 0.9166832  0.9166832  0.9166832  0.81570971 0.08478446]",291.83276854547574,247.98205995559692
5,"[7.66541504e-01 6.96763236e+00 3.97343536e-01 3.53829195e+00
 1.47233378e+01 3.85518516e+03 3.30000000e+01]","[0.74110263 0.58851729 0.99       0.0017238  0.92511077 0.75619959
 0.0017238  0.00447583 0.00447583 0.00447583 0.0616648  0.96725096]",289.863273660289,242.7211606502533
6,"[6.28012268e-01 6.96817745e+00 8.73812996e-02 1.16591627e+00
 4.75700756e-01 3.86200981e+03 5.60000000e+01]","[8.45431034e-01 4.85110340e-01 1.00000000e+00 7.40475254e-04
 9.43634949e-01 8.18217582e-01 7.40475254e-04 3.01553315e-04
 3.01553315e-04 3.01553315e-04 1.69856692e-04 9.49967573e-01]",292.4065372458219,254.3193335533142
7,"[7.73521737e-01 7.01982783e+00 3.02108751e-01 3.98095162e+00
 9.86268403e+00 2.19314096e+04 7.70000000e+01]","[0.3437631  0.11012597 1.         0.00219872 0.51423066 0.3933547
 0.00219872 0.53842491 0.53842491 0.53842491 0.36086375 0.96738485]",289.4706335363223,242.43050146102905
8,"[9.12161448e-01 6.97525487e+00 4.02147563e-01 3.61296225e+00
 1.51750584e+01 3.86144575e+03 2.50000000e+01]","[0.74110263 0.58851729 0.98       0.0017238  0.92511077 0.75619959
 0.0017238  0.00833358 0.00833358 0.00833358 0.07931557 0.96003649]",289.9217967698307,243.70655250549316
9,"[7.59501537e-01 5.08056982e+00 2.47002120e-01 3.50886280e+00
 9.81710762e+00 2.13724894e+04 8.80000000e+01]","[0.3313463  0.73168151 0.99       0.80320591 0.79348898 0.82808594
 0.80320591 0.83544344 0.83544344 0.83544344 0.79256684 0.08478446]",291.92306678971977,241.53670287132263
