formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,5.0,0.0,2.0,16.0,38825.4744,23.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,4.0,16.0,35549.8926,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,45.43103232323232,0.0,1.0,16.0,2351.6894,97.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,2.0,17.0,7039.0514,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,38.6183808080808,0.0,3.0,17.0,29873.5991,18.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.371830303030302,0.0,2.0,15.0,23036.9433,66.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,48.4261,0.0,4.0,22.0,27826.719,99.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.82600707070707,0.0,4.0,9.0,18748.4807,85.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.90143131313131,0.0,2.0,11.0,18423.0003,65.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,7.0,17034.454,51.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,2.0,14.0,8233.747,53.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,5.0,8683.6688,15.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,39.8049,0.0,2.0,22.0,19904.4932,84.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,34.984966666666665,0.0,3.0,15.0,29057.4414,21.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,13.3777,0.0,1.0,8.0,15156.2272,90.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.280183838383838,0.0,3.0,3.0,25650.9237,94.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,3.0,14576.4441,2.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.90143131313131,0.0,2.0,15.0,16283.4123,17.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,22.0888,0.0,4.0,19.0,30192.2165,74.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,5.917653535353535,0.0,3.0,7.0,24784.4542,70.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,14.0,4351.1704,6.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,1.0,14.0,9363.0881,55.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,10.0,15293.2738,30.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,30.897375757575755,0.0,2.0,14.0,8199.1892,5.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,4.0,12.0,10971.107,90.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,15.909542424242424,0.0,4.0,19.0,28225.7199,92.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,46.33938585858586,0.0,1.0,18.0,33260.5292,98.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.371830303030302,0.0,2.0,12.0,3177.1096,80.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.276128282828282,0.0,2.0,1.0,20263.6572,65.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,35.43914343434344,0.0,4.0,13.0,31973.8124,73.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,13.548,0.0,1.0,12.0,25543.5274,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,13.0,21782.7031,57.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,22.0,6503.8995,65.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,6.0,4188.8309,83.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,9.0,13239.1342,81.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,16.0,12062.3055,45.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,15.909542424242424,0.0,1.0,21.0,38527.6722,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.90143131313131,0.0,1.0,20.0,16579.1214,84.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,34.530789898989894,1.0,2.0,1.0,9044.1539,46.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,2.0,13.0,24233.0751,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,2.0,15.0,11856.7558,54.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.371830303030302,0.0,2.0,14.0,36536.8798,90.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.917653535353535,0.0,3.0,6.0,1219.9609,26.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,45.632,0.0,2.0,19.0,22283.0447,81.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,0.0,19094.7234,61.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,4.0,6.0,23960.1797,61.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,15.909542424242424,0.0,4.0,9.0,37371.6708,39.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,3.0,3.0,25115.1965,2.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.9389,0.0,2.0,4.0,21503.6712,73.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.371830303030302,0.0,3.0,5.0,16700.5596,76.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.917653535353535,0.0,2.0,7.0,6612.6859,17.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,44.976855555555545,0.0,1.0,18.0,29617.0161,32.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.280183838383838,0.0,1.0,13.0,23465.2428,47.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,31.35155252525252,0.0,4.0,8.0,20387.7232,59.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,17.726249494949492,1.0,4.0,4.0,9646.8698,20.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,5.0,0.0,2.0,20.0,37746.9927,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,32.71408282828283,0.0,2.0,2.0,21536.9853,12.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,34.984966666666665,0.0,4.0,22.0,8974.334,70.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,8.0,7346.4672,52.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.276128282828282,0.0,4.0,7.0,33629.8106,45.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.917653535353535,0.0,1.0,12.0,7768.3762,17.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,22.0,32241.9697,25.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,3.0,8.0,25582.1567,3.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,4.0,7.0,19094.3162,49.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,2.0,22.0,13653.5847,46.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,0.0,2.0,7.0,29957.4692,100.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,20.905486868686864,1.0,2.0,11.0,25243.4665,20.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.0,0.0,1.0,1.0,3001.6105,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,17.0,11119.0831,76.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,12.0,7545.0766,28.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.917653535353535,0.0,1.0,23.0,16227.8198,40.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.917653535353535,0.0,1.0,5.0,35691.4382,15.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,18.0,15223.3711,60.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.917653535353535,0.0,4.0,2.0,5786.0065,69.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,2.0,0.0,21334.1483,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,8.0,19222.565,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,1.0,3.0,5.0,9066.948,3.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,1.0,1.0,1.0,16148.1505,2.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,23.0,33792.2853,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.371830303030302,0.0,1.0,5.0,26414.6867,27.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,8.0,23601.5294,72.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.90143131313131,0.0,1.0,3.0,20505.4938,86.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.371830303030302,0.0,1.0,2.0,26246.9783,59.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.82600707070707,0.0,2.0,12.0,24856.0699,69.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,7.280183838383838,0.0,2.0,12.0,25997.1404,59.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.371830303030302,0.0,4.0,10.0,14299.3484,2.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,24.538901010101007,0.0,3.0,13.0,19539.1639,78.0,True,True,True,True,True,True,True,True,True,True,True,True
