,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[5.01620443e-01 3.26255748e+01 7.25662790e-02 2.00000000e+00
 1.60000000e+01 3.88254744e+04 2.30000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 3.88254744e+04 2.30000000e+01]","[0.99674499 0.97       0.19       0.67       0.98       0.99
 0.72       0.78       0.76       0.79       0.84       0.99541336]","[0.5976299  0.16       0.76       0.04       0.2        0.08
 0.12       0.04       0.03       0.1        0.02       0.20008828]",265.8034793820797,294.0,28.196520617920328,0.10608032928488942,32.46358609199524,0.8628067970275879,37.62555673394542
1,"[2.91466182e-03 1.17187928e+01 4.13345264e-01 4.00000000e+00
 1.60000000e+01 3.55498926e+04 9.80000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 1.60000000e+01 3.55498926e+04 9.80000000e+01]","[0.99974483 0.96       0.53       0.76       0.93       0.87
 0.75       0.75       0.73       0.76       0.72       0.97226238]","[5.79397559e-01 5.40000000e-01 9.80000000e-01 3.30000000e-01
 2.00000000e-01 1.60000000e-01 4.10000000e-01 2.20000000e-01
 1.00000000e-01 1.10000000e-01 1.50000000e-01 7.93169602e-04]",283.8707765897269,291.0,7.1292234102730845,0.025114326652147138,29.717215299606323,1.3975141048431396,21.264340157011762
2,"[2.27701952e-01 3.89177056e+01 4.07669784e-01 1.00000000e+00
 1.60000000e+01 2.35168940e+03 9.70000000e+01]","[0.00000000e+00 4.54310323e+01 0.00000000e+00 1.00000000e+00
 1.60000000e+01 2.35168940e+03 9.70000000e+01]","[0.98574626 0.89       0.15       0.69       0.93       0.96
 0.63       0.52       0.59       0.65       0.64       0.96989745]","[0.00261439 0.42       0.91       0.04       0.46       0.34
 0.07       0.04       0.07       0.11       0.07       0.01045483]",259.9023265623144,253.56896767676767,-6.3333588855467156,-0.02436822697709951,30.95734429359436,1.3413660526275635,23.078968066138923
3,"[2.68050699e-03 9.78752399e+00 4.17379507e-03 2.00000000e+00
 1.70000000e+01 7.03905140e+03 8.90000000e+01]","[1.0000000e+00 5.0000000e+00 0.0000000e+00 2.0000000e+00 1.7000000e+01
 7.0390514e+03 8.9000000e+01]","[0.99168468 0.91       0.1        0.86       0.93       0.91
 0.91       0.84       0.81       0.81       0.88       0.98810357]","[0.0933422  0.57       0.67       0.05       0.49       0.43
 0.14       0.23       0.26       0.24       0.24       0.22163931]",288.21098272237583,294.0,5.789017277624168,0.020086039827290476,34.87820363044739,0.9472041130065918,36.82226792674903
4,"[5.00554478e-01 5.03540526e+00 5.22939376e-01 3.00000000e+00
 1.70000000e+01 2.98735991e+04 1.80000000e+01]","[1.00000000e+00 3.86183808e+01 0.00000000e+00 3.00000000e+00
 1.70000000e+01 2.98735991e+04 1.80000000e+01]","[0.99540186 1.         0.03       0.66       1.         1.
 0.81       0.74       0.81       0.77       0.82       0.98006988]","[0.0142708  0.63       0.96       0.         0.56       0.18
 0.01       0.07       0.03       0.02       0.04       0.01238544]",291.94220983990243,259.3816191919192,-32.56059064798325,-0.11153094533962417,29.974059104919434,1.2305638790130615,24.357987111533998
5,"[3.94944585e-01 3.40512955e+01 2.29771762e-05 2.00000000e+00
 1.50000000e+01 2.30369433e+04 6.60000000e+01]","[0.00000000e+00 6.37183030e+00 0.00000000e+00 2.00000000e+00
 1.50000000e+01 2.30369433e+04 6.60000000e+01]","[0.92494762 0.93       0.15       0.84       0.9        0.89
 0.8        0.91       0.9        0.99       0.94       0.98483098]","[0.04855238 0.41       0.96       0.03       0.42       0.04
 0.02       0.02       0.         0.02       0.         0.25637957]",264.3436261507408,291.6281696969697,27.28454354622886,0.10321619606848385,33.342864990234375,1.2834794521331787,25.9784953587045
6,"[4.67822940e-01 2.49637218e+01 2.47564410e-02 4.00000000e+00
 2.20000000e+01 2.78267190e+04 9.90000000e+01]","[0.0000000e+00 4.8426100e+01 0.0000000e+00 4.0000000e+00 2.2000000e+01
 2.7826719e+04 9.9000000e+01]","[0.99912483 0.91       0.57       0.46       0.87       0.83
 0.57       0.52       0.61       0.59       0.6        0.96371156]","[0.46993718 0.37       0.98       0.11       0.16       0.21
 0.09       0.08       0.09       0.07       0.09       0.01277407]",271.4793447441479,247.5739,-23.9054447441479,-0.0880562194029062,37.64358043670654,1.3249599933624268,28.411107222321693
7,"[9.65347702e-01 6.86441935e+00 3.74774823e-01 4.00000000e+00
 9.00000000e+00 1.87484807e+04 8.50000000e+01]","[1.00000000e+00 6.82600707e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.87484807e+04 8.50000000e+01]","[0.99978846 0.99       0.53       0.8        0.98       0.99
 0.77       0.84       0.88       0.87       0.81       0.96497738]","[0.60706145 0.24       0.98       0.37       0.32       0.14
 0.31       0.28       0.28       0.17       0.2        0.01987895]",289.726153524891,290.1739929292929,0.4478394044019183,0.0015457334415736252,31.666975021362305,1.2406017780303955,25.525495434673193
8,"[1.70209420e-01 3.24898842e+01 3.88445517e-05 2.00000000e+00
 1.10000000e+01 1.84230003e+04 6.50000000e+01]","[1.00000000e+00 2.59014313e+01 0.00000000e+00 2.00000000e+00
 1.10000000e+01 1.84230003e+04 6.50000000e+01]","[0.97816354 0.89       0.18       0.84       0.9        0.85
 0.86       0.92       0.88       0.92       0.92       0.88673162]","[0.10629027 0.22       0.7        0.4        0.38       0.26
 0.46       0.52       0.24       0.32       0.41       0.07495652]",265.68028642297406,273.0985686868687,7.418282263894639,0.02792183930457085,30.91228699684143,1.1830363273620605,26.129617731832276
9,"[7.03452895e-01 3.56696908e+01 1.54169381e-01 1.00000000e+00
 7.00000000e+00 1.70344540e+04 5.10000000e+01]","[1.00000000e+00 5.91765354e+00 0.00000000e+00 1.00000000e+00
 7.00000000e+00 1.70344540e+04 5.10000000e+01]","[0.99950731 0.99       0.07       0.8        0.95       0.99
 0.76       0.67       0.73       0.77       0.69       0.9687891 ]","[0.44426075 0.14       0.95       0.07       0.36       0.2
 0.02       0.06       0.11       0.02       0.03       0.26625997]",263.87959275734585,294.08234646464643,30.202753707300587,0.11445657237721278,31.06443452835083,0.8963456153869629,34.65675961937957
