formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_8
1.0,13.0557,0.0,4.0,13.0,24108.13,78.0,False
1.0,37.8122,1.0,4.0,20.0,22719.0697,62.0,False
1.0,34.9142,1.0,3.0,14.0,11369.6821,69.0,False
0.0,16.4376,1.0,1.0,18.0,6118.5478,3.0,False
0.0,35.5651,0.0,4.0,6.0,32311.2328,47.0,False
0.0,42.9085,0.0,4.0,20.0,32283.9477,26.0,False
0.0,35.6481,0.0,4.0,13.0,30612.5941,100.0,False
1.0,46.9622,1.0,1.0,3.0,3638.4591,1.0,False
1.0,31.3639,1.0,2.0,11.0,29733.879,79.0,False
0.0,18.3177,1.0,4.0,1.0,30700.4268,66.0,False
1.0,6.2488,0.0,2.0,9.0,12041.7014,8.0,False
1.0,43.7017,0.0,1.0,8.0,22693.8376,90.0,False
1.0,26.6679,1.0,4.0,16.0,18154.8191,47.0,False
1.0,46.2805,0.0,4.0,21.0,31821.9963,81.0,False
1.0,26.2514,1.0,2.0,4.0,20784.8545,30.0,False
1.0,45.0098,1.0,3.0,15.0,27046.5245,51.0,False
1.0,22.967,1.0,3.0,23.0,15690.638,11.0,False
0.0,23.0025,1.0,3.0,7.0,38429.5852,45.0,False
1.0,22.2008,0.0,4.0,0.0,30303.9367,20.0,False
0.0,16.0902,0.0,2.0,23.0,3994.805,10.0,False
0.0,32.0722,1.0,3.0,20.0,27648.0634,33.0,False
0.0,11.5464,1.0,3.0,18.0,31731.9582,29.0,False
0.0,36.0035,1.0,3.0,16.0,19079.437,91.0,False
0.0,29.0971,0.0,2.0,20.0,2985.1279,60.0,False
0.0,28.8393,1.0,1.0,12.0,24253.1146,26.0,False
0.0,5.0758,1.0,2.0,2.0,32444.2559,36.0,False
1.0,48.6066,0.0,2.0,6.0,37992.9932,34.0,False
0.0,28.3067,1.0,2.0,4.0,29174.1389,41.0,False
0.0,26.5943,1.0,3.0,22.0,1814.1179,27.0,False
1.0,43.8946,1.0,3.0,20.0,36688.7445,41.0,False
1.0,29.0175,0.0,3.0,12.0,19487.2467,100.0,False
1.0,13.8583,0.0,1.0,15.0,12173.9302,15.0,False
1.0,25.4518,1.0,1.0,23.0,11562.5254,52.0,False
1.0,26.0068,1.0,3.0,21.0,22680.0957,83.0,False
1.0,19.3298,1.0,2.0,15.0,31925.5067,59.0,False
0.0,26.857,0.0,4.0,11.0,37394.02,69.0,False
1.0,29.2619,0.0,4.0,4.0,32190.0311,11.0,False
