,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[1.00000000e+00 5.60689947e+00 5.00000030e-01 4.00000000e+00
 9.00000000e+00 3.48046858e+04 6.60000000e+01]","[1.00000000e+00 5.00100000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 3.48046858e+04 6.60000000e+01]",[0.82 0.86 1.   0.88 0.88 0.93 0.85 0.87 0.87 0.83 0.9  0.95],[0.78 0.81 1.   0.9  0.73 0.93 0.87 0.82 0.73 0.82 0.92 0.96],290.8931004968512,291.999,1.1058995031488053,0.003801738512394783,89.86622667312622,1.7147881984710693,52.40660435688343
1,"[1.00000000e+00 6.37175012e+00 0.00000000e+00 1.00000000e+00
 1.30000000e+01 3.58976071e+04 3.30000000e+01]","[1.00000000e+00 5.00100000e+00 0.00000000e+00 1.00000000e+00
 1.30000000e+01 3.58976071e+04 3.30000000e+01]",[0.8  0.82 1.   0.91 0.88 0.91 0.95 0.87 0.81 0.89 0.87 0.88],[0.84 0.82 1.   0.86 0.85 0.97 0.84 0.92 0.86 0.96 0.93 0.9 ],293.62824988365173,294.999,1.3707501163482902,0.004668318245575625,61.580854415893555,4.639178276062012,13.274086648846518
2,"[3.10282139e-02 5.89712426e+00 4.84084414e-01 4.00000000e+00
 3.00000000e+00 7.50102430e+03 4.00000000e+01]","[1.0000000e+00 5.0010000e+00 0.0000000e+00 4.0000000e+00 3.0000000e+00
 7.5010243e+03 4.0000000e+01]",[0.89 0.73 0.93 0.69 0.81 0.86 0.7  0.77 0.71 0.89 0.9  0.88],[0.72 0.58 0.95 0.72 0.8  0.82 0.72 0.8  0.58 0.93 0.89 0.94],289.6498195388614,291.999,2.349180461138644,0.00811041575954948,37.640668869018555,1.5629658699035645,24.082847612879096
3,"[5.00000030e-01 6.52144977e+00 7.38697120e-18 3.00000000e+00
 2.00000000e+01 2.18943111e+04 3.80000000e+01]","[0.00000000e+00 6.36417576e+00 0.00000000e+00 3.00000000e+00
 2.00000000e+01 2.18943111e+04 3.80000000e+01]",[0.82 0.86 1.   0.86 0.85 0.96 0.97 0.92 0.94 0.87 0.86 0.95],[0.84 0.86 1.   0.86 0.87 0.97 0.97 0.92 0.94 0.87 0.87 0.95],290.9785502634774,290.63582424242423,-0.3427260210531813,-0.0011778394687266371,155.35293626785278,1.7268438339233398,89.96351216942145
4,"[8.85109011e-01 5.59207372e+00 1.00632994e-01 1.00000000e+00
 1.40000000e+01 8.55038550e+03 6.60000000e+01]","[0.00000000e+00 5.90978384e+00 0.00000000e+00 1.00000000e+00
 1.40000000e+01 8.55038550e+03 6.60000000e+01]",[0.96 0.67 1.   0.8  0.77 0.89 0.86 0.93 0.85 0.93 0.92 0.91],[0.96 0.63 1.   0.64 0.69 0.72 0.55 0.79 0.83 0.95 0.77 0.72],294.192402292754,293.0902161616161,-1.1021861311378984,-0.0037464806111515456,37.642717123031616,1.6722667217254639,22.509995943823743
5,"[2.01309074e-01 5.75721565e+00 4.66294206e-02 4.00000000e+00
 4.00000000e+00 1.17059113e+04 9.10000000e+01]","[0.00000000e+00 5.45539192e+00 0.00000000e+00 4.00000000e+00
 4.00000000e+00 1.17059113e+04 9.10000000e+01]",[0.78 0.72 0.99 0.8  0.89 0.87 0.74 0.82 0.82 0.9  0.86 0.96],[0.79 0.68 0.99 0.77 0.82 0.73 0.77 0.67 0.83 0.91 0.77 0.94],290.3974640068639,290.5446080808081,0.14714407394416185,0.0005066988943838845,40.12057590484619,2.020421266555786,19.857529995830905
6,"[7.82787289e-01 5.22689874e+00 9.10757401e-01 4.00000000e+00
 1.00000000e+01 4.66915700e+03 2.70000000e+01]","[1.00000000e+00 5.45539192e+00 1.00000000e+00 4.00000000e+00
 1.00000000e+01 4.66915700e+03 2.70000000e+01]",[0.74 0.79 1.   0.84 0.8  0.89 0.84 0.81 0.78 0.89 0.89 0.88],[0.76 0.76 1.   0.77 0.8  0.9  0.83 0.77 0.76 0.88 0.89 0.88],290.6451311500916,290.5446080808081,-0.10052306928349708,-0.0003458618724687534,39.002394676208496,1.4196414947509766,27.473411294624082
7,"[9.29181502e-01 6.34774331e+00 9.89259331e-03 4.00000000e+00
 4.00000000e+00 2.74129488e+04 4.00000000e+01]","[1.00000000e+00 5.45539192e+00 0.00000000e+00 4.00000000e+00
 4.00000000e+00 2.74129488e+04 4.00000000e+01]",[0.92 0.79 0.83 0.88 0.93 0.92 0.91 0.85 0.88 0.8  0.86 0.98],[0.92 0.75 0.83 0.9  0.96 0.89 0.91 0.79 0.84 0.79 0.86 0.99],290.5715455999754,291.5446080808081,0.9730624808326525,0.0033487879166676903,36.75529432296753,1.6759390830993652,21.93116366437069
8,"[5.00000030e-01 6.55530000e+00 0.00000000e+00 2.00000000e+00
 1.90000000e+01 2.74521651e+04 4.30000000e+01]","[1.00000000e+00 5.00100000e+00 0.00000000e+00 2.00000000e+00
 1.90000000e+01 2.74521651e+04 4.30000000e+01]",[0.8  0.91 0.98 0.87 0.8  0.92 0.87 0.87 0.86 0.91 0.84 0.99],[0.95 0.87 1.   0.76 0.82 0.96 0.91 0.9  0.93 0.82 0.97 0.98],291.9447000324725,293.999,2.054299967527527,0.007036606478209848,231.2951536178589,1.6916053295135498,136.73115683808575
9,"[7.76137995e-01 6.45000146e+00 8.25534424e-02 4.00000000e+00
 8.00000000e+00 2.63974698e+04 8.80000000e+01]","[0.00000000e+00 5.53600000e+00 1.00000000e+00 4.00000000e+00
 8.00000000e+00 2.63974698e+04 8.80000000e+01]",[0.8  0.87 1.   0.79 0.95 0.97 0.81 0.98 0.88 0.9  0.92 0.98],[0.49 0.93 1.   0.92 0.9  0.93 0.93 0.89 0.96 0.86 0.96 0.94],290.24358309430954,289.464,-0.7795830943095439,-0.002685961515491049,38.34401202201843,1.2449471950531006,30.799709557466773
10,"[8.21032745e-01 5.12482042e+00 2.34362086e-01 1.00000000e+00
 1.50000000e+01 8.43970250e+03 1.90000000e+01]","[1.00000000e+00 5.90978384e+00 0.00000000e+00 1.00000000e+00
 1.50000000e+01 8.43970250e+03 1.90000000e+01]",[0.83 0.73 1.   0.84 0.9  0.83 0.85 0.92 0.91 0.95 0.93 0.87],[0.83 0.64 1.   0.77 0.9  0.83 0.86 0.92 0.9  0.91 0.89 0.88],294.4618502358524,294.0902161616161,-0.37163407423628314,-0.0012620788531302741,35.26673150062561,1.6552221775054932,21.306343027480715
