,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[0.00000000e+00 5.45539192e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 3.48046858e+04 6.60000000e+01]",[0.92 0.45 1.   0.87 0.77 0.63 0.83 0.77 0.88 0.7  0.69 0.9 ],290.5446080808081,31.823628911404626,0.123003666009502,1.1413331031799316,49.27444247015624
1,"[0.00000000e+00 7.28960000e+00 0.00000000e+00 1.00000000e+00
 1.30000000e+01 3.58976071e+04 3.30000000e+01]",[0.92 0.87 1.   0.64 0.85 0.82 0.83 0.83 0.84 0.9  0.86 0.71],291.7104,-1.4188661485322314,-0.004840411082710773,1.2023634910583496,31.484544954490094
2,"[0.00000000e+00 5.45539192e+00 0.00000000e+00 4.00000000e+00
 3.00000000e+00 7.50102430e+03 4.00000000e+01]",[0.82 0.77 1.   0.77 0.85 0.78 0.88 0.65 0.85 0.75 0.75 0.78],290.5446080808081,-0.2338518598339192,-0.0008042269014068529,1.1483638286590576,31.791134469282916
3,"[0.00000000e+00 7.72735152e+00 0.00000000e+00 3.00000000e+00
 2.00000000e+01 2.18943111e+04 3.80000000e+01]",[0.86 0.58 1.   0.78 0.57 0.41 0.84 0.7  0.59 0.55 0.73 0.82],289.2726484848485,35.29613377021019,0.13897400635593432,1.2010841369628906,34.31376386740647
4,"[0.00000000e+00 5.45539192e+00 0.00000000e+00 1.00000000e+00
 1.40000000e+01 8.55038550e+03 6.60000000e+01]",[0.9  0.88 1.   0.77 0.87 0.84 0.81 0.89 0.92 0.83 0.83 0.86],293.5446080808081,1.3519083802127057,0.004626769873436201,1.1548192501068115,106.43025041172352
5,"[0.00000000e+00 5.45539192e+00 0.00000000e+00 4.00000000e+00
 4.00000000e+00 1.17059113e+04 9.10000000e+01]",[0.89 0.85 1.   0.92 0.92 0.85 0.86 0.82 0.94 0.86 0.95 0.89],290.5446080808081,2.476758414928213,0.008597830052194028,1.1690571308135986,86.9301959199173
6,"[0.00000000e+00 5.45539192e+00 1.00000000e+00 4.00000000e+00
 1.00000000e+01 4.66915700e+03 2.70000000e+01]",[0.78 0.7  1.   0.74 0.74 0.89 0.71 0.86 0.84 0.86 0.86 0.8 ],289.5446080808081,-1.240392481439926,-0.00426566872101918,1.186962366104126,30.891394182281704
7,"[0.00000000e+00 2.43586000e+01 0.00000000e+00 4.00000000e+00
 4.00000000e+00 2.74129488e+04 4.00000000e+01]",[0.94 0.57 1.   0.91 0.57 0.51 0.77 0.65 0.78 0.66 0.73 0.76],271.6414,-19.45412403041115,-0.06683072196046118,1.307450771331787,27.83817215144262
8,"[0.00000000e+00 4.09491000e+01 0.00000000e+00 2.00000000e+00
 1.90000000e+01 2.74521651e+04 4.30000000e+01]",[0.88 0.7  1.   0.86 0.75 0.79 0.82 0.85 0.79 0.88 0.78 0.86],257.0509,-33.58832860523887,-0.11556708558038552,1.609065055847168,25.92509632669463
9,"[1.00000000e+00 5.53600000e+00 1.00000000e+00 4.00000000e+00
 8.00000000e+00 2.63974698e+04 8.80000000e+01]",[0.74 0.56 1.   0.51 0.75 0.68 0.71 0.74 0.71 0.78 0.83 0.83],290.464,4.638145827779908,0.016227173854557127,1.660294532775879,23.139539014730506
10,"[0.00000000e+00 6.81856768e+00 1.00000000e+00 1.00000000e+00
 1.50000000e+01 8.43970250e+03 1.90000000e+01]",[0.58 0.81 1.   0.4  0.83 0.71 0.29 0.61 0.57 0.78 0.76 0.66],291.18143232323234,-1.363513916056604,-0.004660869837557574,1.117830514907837,35.02966521851987
11,"[0.00000000e+00 8.18174343e+00 0.00000000e+00 1.00000000e+00
 8.00000000e+00 3.94523082e+04 7.60000000e+01]",[0.85 0.48 1.   0.65 0.49 0.53 0.65 0.66 0.78 0.66 0.63 0.72],290.81825656565655,-2.985391124129592,-0.010161177873740117,1.232132911682129,32.021144788832686
12,"[1.00000000e+00 1.54971000e+01 0.00000000e+00 2.00000000e+00
 1.50000000e+01 2.72126602e+04 1.70000000e+01]",[0.97 0.7  1.   0.78 0.8  0.73 0.81 0.76 0.76 0.83 0.64 0.78],283.5029,-8.335003248168618,-0.02856038628087602,1.6204209327697754,23.5800740023818
13,"[0.00000000e+00 8.18174343e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 2.68951332e+04 9.60000000e+01]",[0.92 0.81 1.   0.8  0.78 0.89 0.9  0.88 0.95 0.91 0.94 0.96],289.81825656565655,-0.5632928225114711,-0.0019398368239935534,1.3487505912780762,85.17087237739678
