formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,5.455687878787879,0.0,3.0,10.0,24055.5035,60.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.455687878787879,0.0,1.0,16.0,32598.4996,14.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,4.0,4.0,24164.1234,26.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,1.0,2.0,27996.2709,64.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.0012,0.0,2.0,12.0,3074.0156,100.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,3.0,2.0,19984.9801,82.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,10.0,14403.0872,36.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,5.0012,0.0,3.0,21.0,10452.307,95.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,3.0,7.0,30757.6342,22.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,1.0,13.0,32518.1604,37.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,5.455687878787879,0.0,4.0,7.0,33577.484,41.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.455687878787879,0.0,1.0,13.0,37364.5672,17.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,1.0,2.0,27148.6166,39.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,4.0,4.0,6525.654,26.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.455687878787879,0.0,3.0,10.0,34259.0454,24.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.0012,1.0,4.0,5.0,24137.6204,90.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,5.455687878787879,0.0,3.0,13.0,19475.1356,50.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,1.0,16.0,15738.5772,31.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,5.455687878787879,0.0,3.0,0.0,17916.6151,8.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,3.0,10.0,22940.9986,79.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,5.0012,0.0,2.0,14.0,19744.1079,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,13.0,21108.6728,78.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,1.0,23.0,37745.9606,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,9.0,6899.5685,30.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.0012,0.0,3.0,20.0,16847.3164,42.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0012,0.0,1.0,20.0,9022.8021,70.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,2.0,1863.0157,57.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,1.0,3.0,2.0,34145.2504,72.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.0012,0.0,4.0,0.0,29556.0804,92.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,1.0,5.0,17265.5437,93.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,1.0,15.0,1204.4537,5.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,1.0,20.0,25674.7213,67.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,2.0,18.0,36478.701,95.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,2.0,12.0,28051.536,89.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0012,0.0,1.0,0.0,5309.1095,53.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,3.0,5.0,16943.6146,22.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,3.0,9.0,7671.7924,86.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,1.0,14.0,26874.9537,65.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,20.0,5746.3153,17.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,3.0,20.0,1173.0323,28.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.455687878787879,0.0,3.0,16.0,32457.8803,3.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,3.0,11.0,25741.9063,40.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,3.0,12.0,9236.7392,33.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,3.0,9.0,27502.633,92.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,7.0,24143.5614,19.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0012,0.0,3.0,3.0,8345.5635,7.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.455687878787879,0.0,2.0,7.0,30741.0666,31.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,3.0,13.0,4970.0681,40.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0012,0.0,2.0,9.0,8456.3593,96.0,True,True,True,True,True,True,True,True,True,True,True,True
