,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[1.00000000e+00 5.45568788e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+01 2.40555035e+04 6.00000000e+01]","[0.82259727 0.16587822 0.99272584 0.07414992 0.16587822 0.22
 0.07414992 0.02641476 0.13553867 0.02641476 0.00624731 0.02952481]",292.5443121212121,1.4344624096892176,0.00492756398009448,0.14244556427001953,51.889821912764035
1,"[1.00000000e+00 5.45568788e+00 0.00000000e+00 1.00000000e+00
 1.60000000e+01 3.25984996e+04 1.40000000e+01]","[0.51056516 0.16435813 0.97893343 0.08103162 0.16435813 0.16
 0.08103162 0.02318247 0.11474752 0.02318247 0.01354711 0.01274948]",294.5443121212121,0.9728415390586633,0.0033138149872993946,0.13959264755249023,43.1240371378699
2,"[0.00000000e+00 5.45568788e+00 0.00000000e+00 4.00000000e+00
 4.00000000e+00 2.41641234e+04 2.60000000e+01]","[0.2577467  0.21232926 0.98879599 0.09418376 0.21232926 0.45
 0.09418376 0.05276449 0.13238918 0.05276449 0.06777166 0.07337732]",290.5443121212121,0.43344273271623024,0.001494058921783432,0.11915922164916992,49.31502230936994
3,"[0.00000000e+00 5.45568788e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+00 2.79962709e+04 6.40000000e+01]","[0.26468601 0.31779706 0.96824441 0.0861847  0.31779706 0.23
 0.0861847  0.04646174 0.11201855 0.04646174 0.00313338 0.01416228]",293.5443121212121,0.43694278130254816,0.00149072601718122,0.1323404312133789,37.9947430622113
4,"[0.0000000e+00 5.0012000e+00 0.0000000e+00 2.0000000e+00 1.2000000e+01
 3.0740156e+03 1.0000000e+02]","[0.36936924 0.17431808 0.98138186 0.99999874 0.17431808 0.34
 0.99999874 0.99999681 0.99999627 0.99999681 0.0712852  0.03568606]",292.9988,0.07097644743220144,0.0002423001221646132,0.09940671920776367,66.99647432976289
5,"[0.00000000e+00 5.00120000e+00 0.00000000e+00 3.00000000e+00
 2.00000000e+00 1.99849801e+04 8.20000000e+01]","[0.29586617 0.25563534 0.98815336 0.55783854 0.25563534 0.5
 0.55783854 0.85294401 0.3961821  0.85294401 0.08447258 0.40857032]",291.9988,-0.29948819574690333,-0.0010245978435095776,0.10032105445861816,58.98993528638685
6,"[1.00000000e+00 5.00120000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+01 1.44030872e+04 3.60000000e+01]","[0.80391558 0.19847036 0.97276956 0.01075194 0.19847036 0.31
 0.01075194 0.00541423 0.01292823 0.00541423 0.2492135  0.00762421]",293.9988,1.8890811374283771,0.00646702596813333,0.13052654266357422,50.63666917518467
7,"[0.0000000e+00 5.0012000e+00 0.0000000e+00 3.0000000e+00 2.1000000e+01
 1.0452307e+04 9.5000000e+01]","[0.61419305 0.09307313 0.99486915 0.3387589  0.09307313 0.41
 0.3387589  0.6093413  0.48777297 0.6093413  0.55427176 0.1267861 ]",291.9988,0.5709491655584884,0.0019591441378155766,0.08324027061462402,83.19662881120483
8,"[0.00000000e+00 5.00120000e+00 0.00000000e+00 3.00000000e+00
 7.00000000e+00 3.07576342e+04 2.20000000e+01]","[0.63390716 0.21177728 0.98653168 0.01288791 0.21177728 0.33
 0.01288791 0.00838979 0.01540194 0.00838979 0.48120874 0.01322071]",291.9988,0.8872171795383679,0.003047687663068854,0.0876302719116211,69.71134382448007
9,"[0.00000000e+00 5.45568788e+00 0.00000000e+00 1.00000000e+00
 1.30000000e+01 3.25181604e+04 3.70000000e+01]","[0.32561818 0.19383371 0.97884633 0.09006927 0.19383371 0.1
 0.09006927 0.02318247 0.11474752 0.02318247 0.00200506 0.01981467]",293.5443121212121,0.4369741097559654,0.0014908330604090376,0.10066556930541992,59.17333061754243
10,"[0.00000000e+00 5.45568788e+00 0.00000000e+00 4.00000000e+00
 7.00000000e+00 3.35774840e+04 4.10000000e+01]","[0.51252098 0.17892797 0.99487746 0.74373951 0.17892797 0.32
 0.74373951 0.59708108 0.73747216 0.59708108 0.34683716 0.07408878]",290.5443121212121,0.4350887004618471,0.0014997410124766377,0.10893440246582031,53.74274026929071
11,"[1.00000000e+00 5.45568788e+00 0.00000000e+00 1.00000000e+00
 1.30000000e+01 3.73645672e+04 1.70000000e+01]","[0.20828815 0.19100759 0.98051797 0.26442691 0.19100759 0.17
 0.26442691 0.06481596 0.39780266 0.06481596 0.00968561 0.03438132]",294.5443121212121,1.4375557072817173,0.00490454646924473,0.09441542625427246,64.5594320302419
12,"[0.00000000e+00 5.45568788e+00 0.00000000e+00 1.00000000e+00
 2.00000000e+00 2.71486166e+04 3.90000000e+01]","[0.12173391 0.32471917 0.95338863 0.0861847  0.32471917 0.32
 0.0861847  0.04646174 0.11201855 0.04646174 0.01026871 0.01765908]",293.5443121212121,0.43609122664634015,0.0014878164294245672,0.13408374786376953,55.702714140415516
13,"[0.000000e+00 5.001200e+00 0.000000e+00 4.000000e+00 4.000000e+00
 6.525654e+03 2.600000e+01]","[0.54391493 0.21850098 0.97591688 0.17934041 0.21850098 0.35
 0.17934041 0.10094119 0.27604955 0.10094119 0.01071777 0.00697841]",290.9988,0.8875471886815944,0.00305933389374191,0.13474154472351074,51.337789990922715
14,"[1.00000000e+00 5.45568788e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+01 3.42590454e+04 2.40000000e+01]","[0.63754978 0.17144331 0.99208051 0.59998505 0.17144331 0.34
 0.59998505 0.22127253 0.61258321 0.22127253 0.19981253 0.04279514]",292.5443121212121,1.4328941440382437,0.004922150268082571,0.08996224403381348,104.24045594163184
15,"[1.00000000e+00 5.00120000e+00 1.00000000e+00 4.00000000e+00
 5.00000000e+00 2.41376204e+04 9.00000000e+01]","[0.56434847 0.17969672 0.99731426 0.43853933 0.17969672 0.4
 0.43853933 0.7944729  0.20584577 0.7944729  0.07157971 0.95767492]",290.9988,0.914291446452296,0.0031518106603184008,0.13394498825073242,47.05605315713965
16,"[0.00000000e+00 5.45568788e+00 0.00000000e+00 3.00000000e+00
 1.30000000e+01 1.94751356e+04 5.00000000e+01]","[0.57496735 0.14824109 0.98980713 0.08248893 0.14824109 0.16
 0.08248893 0.02641476 0.13553867 0.02641476 0.00912149 0.04545811]",291.5443121212121,0.43335496048888444,0.0014886246973164527,0.0881805419921875,64.73366661619657
17,"[0.00000000e+00 5.00120000e+00 0.00000000e+00 1.00000000e+00
 1.60000000e+01 1.57385772e+04 3.10000000e+01]","[0.40188803 0.17212292 0.95983412 0.01095123 0.17212292 0.19
 0.01095123 0.0047392  0.0122307  0.0047392  0.01954417 0.02053672]",293.9988,0.89073264666348,0.0030389223152623695,0.09861183166503906,72.99647250536741
