,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[1.00000000e+00 6.38324998e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 2.46425303e+04 9.30000000e+01]","[1.00000000e+00 6.00100000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+00 2.46425303e+04 9.30000000e+01]","[0.94961568 0.9159579  1.         0.84185984 0.91740244 0.9
 0.85574355 0.85884109 0.83055838 0.87187275 0.9        0.92981619]","[0.87956805 0.9159579  1.         0.84185984 0.91740244 0.87
 0.85574355 0.85884109 0.86401515 0.87058652 0.86       0.9247815 ]",292.6167500211364,292.999,0.38224997886362644,0.0013063161245417962,19.562793970108032,0.23221111297607422,84.24572674144014
1,"[1.00000000e+00 6.44870019e+00 4.26816013e-17 2.00000000e+00
 1.50000000e+01 1.24025563e+04 2.10000000e+01]","[1.00000000e+00 6.00100000e+00 0.00000000e+00 2.00000000e+00
 1.50000000e+01 1.24025563e+04 2.10000000e+01]","[0.92497968 0.90313951 1.         0.8515754  0.90624623 0.94
 0.8536857  0.90323318 0.86822504 0.90102191 0.95       0.99942613]","[0.92497968 0.91752609 1.         0.8515754  0.92021916 0.93
 0.8536857  0.90775694 0.90103761 0.91359034 0.95       0.99942613]",292.55129981040955,292.999,0.44770018959047775,0.0015303305433290292,19.64677596092224,0.5488033294677734,35.79930169151047
2,"[3.06243086e-01 7.96657844e+00 2.19538934e-01 4.00000000e+00
 0.00000000e+00 1.64582527e+04 1.40000000e+01]","[0.00000000e+00 5.00100000e+00 0.00000000e+00 4.00000000e+00
 0.00000000e+00 1.64582527e+04 1.40000000e+01]","[0.86950154 0.84999856 1.         0.79107223 0.85023828 0.89
 0.78507764 0.82406441 0.8561603  0.81565163 0.8        0.9732337 ]","[0.86841232 0.95266496 1.         0.87296789 0.95692011 0.94
 0.88173703 0.79212033 0.88997942 0.77109941 0.64       0.95789564]",288.12012571285726,290.999,2.8788742871427644,0.009991923611791954,8.37087631225586,0.2581140995025635,32.430914577654534
3,"[1.00000000e+00 6.44870019e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+01 2.09183168e+04 3.30000000e+01]","[1.00000000e+00 6.00100000e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+01 2.09183168e+04 3.30000000e+01]","[0.92358694 0.8997714  1.         0.84480372 0.90303358 0.95
 0.8391876  0.91652692 0.8536101  0.90479856 0.99       0.99604189]","[0.92358694 0.91461094 1.         0.84480372 0.9174417  0.95
 0.8391876  0.92048392 0.88610524 0.91693165 0.98       0.99604189]",292.5512998104106,292.999,0.4477001895893977,0.0015303305433253319,16.910699129104614,0.8262975215911865,20.465629736538457
4,"[1.00000000e+00 6.67275023e+00 0.00000000e+00 1.00000000e+00
 2.20000000e+01 3.57107171e+04 7.80000000e+01]","[1.00000000e+00 6.00100000e+00 0.00000000e+00 1.00000000e+00
 2.20000000e+01 3.57107171e+04 7.80000000e+01]","[0.91605011 0.81148428 1.         0.86113339 0.80285975 0.9
 0.85509746 0.90311119 0.85950664 0.90199265 0.87       0.99333823]","[0.9258043  0.92159801 1.         0.86113339 0.92453488 0.89
 0.85509746 0.92452218 0.91607523 0.94410807 0.89       0.99333823]",293.3272497653962,293.999,0.6717502346038486,0.002290105113456442,84.43990802764893,0.9670634269714355,87.31579095291653
5,"[5.00000030e-01 6.38631562e+00 0.00000000e+00 4.00000000e+00
 0.00000000e+00 6.68294830e+03 3.00000000e+00]","[0.0000000e+00 5.0010000e+00 0.0000000e+00 4.0000000e+00 0.0000000e+00
 6.6829483e+03 3.0000000e+00]","[0.86314145 0.86836925 1.         0.89597965 0.88243777 0.86
 0.90460434 0.89970362 0.8900655  0.88954253 0.84       0.98858625]","[0.8855502  0.90877439 1.         0.8973028  0.92155274 0.88
 0.92137531 0.82719416 0.92564823 0.79444585 0.74       0.99137855]",290.1136844113771,290.999,0.885315588622916,0.003051616094632582,23.66841173171997,0.30019593238830566,78.84321264255075
6,"[1.00000000e+00 9.07820082e+00 0.00000000e+00 2.00000000e+00
 7.00000000e+00 2.67897672e+04 1.00000000e+00]","[0.00000000e+00 5.00100000e+00 0.00000000e+00 2.00000000e+00
 7.00000000e+00 2.67897672e+04 1.00000000e+00]","[0.87377346 0.90821777 1.         0.82863572 0.92204466 0.98
 0.81429143 0.89584685 0.88377992 0.89038462 0.92       0.99503702]","[0.69364854 0.95775853 1.         0.94085178 0.97521687 0.94
 0.93951416 0.75851428 0.91051682 0.81650754 0.9        0.99856609]",289.92179918289884,292.999,3.077200817101186,0.010613899423133465,20.10121464729309,0.3254671096801758,61.7611243945534
7,"[1.00000000e+00 6.44870019e+00 0.00000000e+00 3.00000000e+00
 8.00000000e+00 7.45164300e+03 4.30000000e+01]","[1.000000e+00 6.001000e+00 0.000000e+00 3.000000e+00 8.000000e+00
 7.451643e+03 4.300000e+01]","[0.9339708  0.89475461 1.         0.85831255 0.89998711 0.97
 0.85111111 0.92383429 0.87678186 0.90902587 0.98       0.99885952]","[0.9339708  0.91026285 1.         0.85831255 0.9148052  0.96
 0.85111111 0.9274723  0.90769028 0.92066743 0.97       0.99885952]",291.5512998104196,291.999,0.44770018958041646,0.0015355794670493057,18.036536931991577,0.7392890453338623,24.397138096164124
8,"[1.00000000e+00 9.07820082e+00 0.00000000e+00 3.00000000e+00
 1.20000000e+01 3.39576175e+04 6.00000000e+00]","[1.00000000e+00 9.00100000e+00 0.00000000e+00 3.00000000e+00
 1.20000000e+01 3.39576175e+04 6.00000000e+00]","[0.89976023 0.86332178 1.         0.83258079 0.87186417 0.94
 0.82141954 0.92217136 0.88904905 0.91787173 0.94       0.98831463]","[0.9218736  0.86332178 1.         0.83258079 0.87186417 0.94
 0.82141954 0.92217136 0.88904905 0.91787173 0.95       0.98831463]",288.92179918373824,288.999,0.07720081626177944,0.0002672031549017317,20.00031089782715,0.8523013591766357,23.46624311047493
9,"[1.00000000e+00 6.44870019e+00 0.00000000e+00 4.00000000e+00
 2.20000000e+01 1.92412218e+04 3.60000000e+01]","[1.00000000e+00 6.00100000e+00 0.00000000e+00 4.00000000e+00
 2.20000000e+01 1.92412218e+04 3.60000000e+01]","[0.91688093 0.89956224 1.         0.8533004  0.91028037 0.95
 0.84623392 0.89347531 0.8497918  0.87618855 0.95       0.98692733]","[0.91688093 0.9144298  1.         0.8533004  0.92370268 0.93
 0.84623392 0.89840394 0.8865948  0.89153076 0.94       0.98692733]",290.55129981046156,290.999,0.447700189538466,0.0015408645214477412,34.15332293510437,0.36229896545410156,94.26834242349263
